,cat_periodo,MRUN,GEN_ALU,FEC_NAC_ALU,anio_ing_carr_ori,sem_ing_carr_ori,anio_ing_carr_act,sem_ing_carr_act,cod_inst,cod_sede,cod_carrera,version,dur_estudio_carr,dur_proceso_tit,dur_total_carr,valor_matricula,valor_arancel,codigo_demre,acre_inst_anio,costo_proceso_titulacion,costo_obtencion_titulo_diploma
cod_carrera,,0.008928924747662631,-0.020711689312319863,-0.17308846493669067,0.027415324811343598,0.05002421217079386,0.13194546455580827,0.04794096146990799,-0.0362992299703082,0.0733921164677316,1.0,-0.025138661264007087,-0.30411938287037255,-0.08173147189406452,-0.3067555856791066,-0.12777409100691572,-0.12613132515727452,-0.1567145647191915,0.14606885881035667,0.02049615567451369,-0.09292347625175916
version,,0.001089976732517985,-0.007805910405596205,-0.14384267263996214,-0.00672328497785227,0.07167730989931696,0.06788222664379417,0.08996036472487258,-0.008778531558206652,0.00010853716872729079,-0.025138661264007087,1.0,-0.0734263040791302,-0.07148457360198708,-0.07564273788078027,-0.03237499181514859,-0.10376515535620354,-0.05845596419883247,-0.14340055717303105,0.0403317475070265,-0.06512832499648762
dur_estudio_carr,,-0.011686693334967645,-0.009350107861480446,0.3106509310033759,-0.10617067991941548,-0.09757633990406277,-0.3682741256574477,-0.0700136363113389,-0.4045861533156468,-0.3088653505553045,-0.30411938287037255,-0.0734263040791302,1.0,0.011320708529694036,0.9948518805878301,0.2875496402848004,0.6246217462916329,0.5346122543443478,0.01855803757875574,-0.13455886658683144,0.34898627607719335
dur_proceso_tit,,0.0012162483007224188,0.032597960723759915,-0.03028223626793575,-0.002825826003926186,-0.01598102590841611,-0.0032840894711658125,-0.02138974950279876,-0.0005103483918268234,-0.08115060648457785,-0.08173147189406452,-0.07148457360198708,0.011320708529694036,1.0,0.0411425433961402,-0.09298061544583193,-0.12894530073053637,-0.013755915016962045,-0.07535768547414867,0.28581595940387655,0.20672725258566643
dur_total_carr,,-0.011463280703959954,-0.008216006168054197,0.3013186280679978,-0.10908591066682628,-0.0977316189267767,-0.37051667826091256,-0.06904785829620358,-0.3965710388636048,-0.31758111667368755,-0.3067555856791066,-0.07564273788078027,0.9948518805878301,0.0411425433961402,1.0,0.2864179041782311,0.6213639741088154,0.5350457035273811,0.006719390333915624,-0.12209777526707952,0.3507120720544659
valor_matricula,,-0.005131981915957992,-0.04845575810594701,0.17502461130236485,-0.04353182112904191,-0.06679466442080534,-0.10247140918389476,-0.05362558470018416,-0.2215565933735884,-0.060945317088569956,-0.12777409100691572,-0.03237499181514859,0.2875496402848004,-0.09298061544583193,0.2864179041782311,1.0,0.5730920897716513,0.4603863369021246,0.0844690987674044,-0.03896887727400665,0.07612434927805245
valor_arancel,,-0.005173518634104813,-0.031231882240184125,0.2455600247007626,-0.07657923962361705,-0.0704252645904611,-0.2611400650721819,-0.03958065794844227,-0.37024965934971366,-0.3393664343275094,-0.12613132515727452,-0.10376515535620354,0.6246217462916329,-0.12894530073053637,0.6213639741088154,0.5730920897716513,1.0,0.5227411482885368,0.17804333138529782,-0.18931398913644076,0.25740183212233614
codigo_demre,,-0.009747373977407825,0.027116138205374604,0.29301656600736203,-0.05770857324381049,-0.0934640740666334,-0.18896522766134422,-0.07906963312522526,-0.2851495749374892,-0.36527010429930695,-0.1567145647191915,-0.05845596419883247,0.5346122543443478,-0.013755915016962045,0.5350457035273811,0.4603863369021246,0.5227411482885368,1.0,-0.06627766989741503,-0.03662512764643122,0.25927132052298224
acre_inst_anio,,-0.001408881400953264,-0.11465233445382866,0.20397283105379466,0.03697941001627334,-0.050200918728274674,0.019555565650237222,-0.06512088707072923,0.15219784937448472,0.12782922867681565,0.14606885881035667,-0.14340055717303105,0.01855803757875574,-0.07535768547414867,0.006719390333915624,0.0844690987674044,0.17804333138529782,-0.06627766989741503,1.0,-0.22937614780976742,-0.09743128900851943
costo_proceso_titulacion,,0.0038152598332314336,0.08470432461199592,-0.09122587677345798,-0.013056609481652414,-0.015005798772018339,0.04862285881906818,-0.011537277477098618,0.04898819499232132,0.07157294602202725,0.02049615567451369,0.0403317475070265,-0.13455886658683144,0.28581595940387655,-0.12209777526707952,-0.03896887727400665,-0.18931398913644076,-0.03662512764643122,-0.22937614780976742,1.0,-0.13390859760812526
costo_obtencion_titulo_diploma,,-0.0022224463128426306,0.03363065507606143,0.09020762851927956,-0.06249935508767477,-0.04751400568939182,-0.14907183147729897,-0.0304748420977005,-0.22721482961733241,-0.2664498257179312,-0.09292347625175916,-0.06512832499648762,0.34898627607719335,0.20672725258566643,0.3507120720544659,0.07612434927805245,0.25740183212233614,0.25927132052298224,-0.09743128900851943,-0.13390859760812526,1.0
